"","Area","Title","Source","Collection","ID","A","B","C","C1","C2","D","E","F","G","H","H1","I","J","J1","J6","K1","K3","K7","L","M1","M3","M","N","MDS1","MDS2","MDS3"
"25","North Pacific","Coos 2","Jacobs, UWash, Vol. 8, 241","1932 at Florence, Oregon (a garbled rendering of a tale heard from JIm Buchanan).'",25,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198067443157389,-0.0150675196993576,-0.0608164854364968
"26","North Pacific","Coos 3","Jacobs, UWash, Vol. 8, 169f.","Collected 1933 from Mrs. Annie M. Peterson, Learned by her from a woman m South Slough, Oregon.Fragmentary.",26,4,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246989680069313,-0.00997156457572245,-0.0942389558098754
"27","California","Maidu","Dixon, PAES, Vol. 4, 183, no. 10","1902-3",27,2,1,1,0,0,4,4,0,2,0,0,0,0,0,0,3,2,0,4,0,0,0,0,-0.0651767619769901,-0.163238151038997,0.0280226476199514
"28","California","Patwin","Kroeber, UCal, VoL 29, 306.","1923",28,1,6,0,0,0,8,7,0,1,1,0,1,4,0,0,1,0,0,1,0,0,0,7,0.0865708738205234,0.483522506177914,0.106781075537907
"29","California","Washo 1","Lowie, UCal, Vol. 36, 350","1926, Coleville, Calif.",29,2,1,1,0,0,4,4,0,2,1,1,1,0,0,0,3,2,0,5,0,0,0,0,0.0245541568854033,-0.0590025421916565,0.0783913194381947
"30","California","Washo 2","Curtis, The North American Illdian, Vol. IS, 154.","c.1910",30,2,1,0,0,0,4,2,6,2,0,0,1,0,0,0,3,2,0,3,0,0,4,0,0.101098629513076,-0.0766511803430078,0.26535216727058
"31","Plateau","Shoshone 1","Liljeblad manuscript, collected at Ft. Hall, Idaho, April 30, 1943, by Sven Liljeblad.-","n/a",31,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,10,6,1,1,0,0,0,0,-0.282112719050274,-0.0891776078491445,-0.0759963816101456
"32","Plateau","Shoshone 2","St. Clair-Lowie, JAFL, Vol. 22, 268, no. 6.","Collected before 1909 from Wind River Shoshone of Wyoming. The tale said not to be found among Lemhi Shoshone of Idaho",32,3,1,1,0,0,0,4,2,2,1,1,1,4,0,0,3,1,0,1,0,0,0,7,0.0877308300204288,-0.0501581575613106,-0.0222167382353416
"33","Plateau","Wasco","Curtin, PAES, Vol. 2, 302, no. 6","Collected before 1909",33,5,1,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,-0.392183901910301,-0.0220076577275302,0.0309664875947151
"34","Plateau","Wishram","Spier and Sapir, UWash, Vol. 3, 276.","1905 in Yakima Reservation, from Mrs. Mabel Teio. Original home of tribe opposite the Dalles on Columbia River",34,2,1,1,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211890019612393,0.130890412192293,-0.089394917900909
"35","Plateau","Kutenai","Boas, BBAE, Vol. 59, 247 , no . 70","1914 among Upper Kutenai",35,3,1,1,0,0,4,4,1,1,1,1,1,0,0,0,3,0,0,2,0,0,0,0,-0.101911852869703,0.00216998012159128,0.0221033895176749
