Area,Title,Source,Collection,ID,A,B,C,C1,C2,D,E,F,G,H,H1,I,J,J1,J6,K1,K3,K7,L,M1,M3,M,N
Plateau,Shoshone 2,"St. Clair-Lowie, JAFL, Vol. 22, 268, no. 6.",Collected before 1909 from Wind River Shoshone of Wyoming. The tale said not to be found among Lemhi Shoshone of Idaho,32,3,1,1,0,0,0,4,2,2,1,1,1,4,0,0,3,1,0,1,0,0,0,7
Plateau,Wasco,"Curtin, PAES, Vol. 2, 302, no. 6",Collected before 1909,33,5,1,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5
Plateau,Wishram,"Spier and Sapir, UWash, Vol. 3, 276.","1905 in Yakima Reservation, from Mrs. Mabel Teio. Original home of tribe opposite the Dalles on Columbia River",34,2,1,1,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plateau,Kutenai,"Boas, BBAE, Vol. 59, 247 , no . 70",1914 among Upper Kutenai,35,3,1,1,0,0,4,4,1,1,1,1,1,0,0,0,3,0,0,2,0,0,0,0
Plateau,Shuswap,"Telt, JE, Vol. 2, 687",1900-- Fragmentary,36,2,1,1,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plains,Sarsi,"Curtis, The Nortlt Amerz.c an Illdl.a ll, Vo I. 18 , 140",n/a,37,3,1,1,0,0,5,4,2,2,1,1,1,4,0,0,3,1,0,1,0,0,0,0
Plains,Blackfoot 1,"Wissler and Duvall, Pa AM , Vo I. 2, 58 , no . 3.",Collected 1903-7 in Montana,38,3,1,3,0,2,9,4,2,2,1,1,3,1,2,0,3,4,0,1,2,2,7,5
Plains,Blackfoot 2,"M.cC lintock ' The Old North Trail (London, 1910), p. 491",1905 in Montana,39,3,1,3,0,2,9,4,2,2,1,1,3,1,2,0,3,4,0,1,0,0,0,1
Plains,Gros Ventre 1,"Kroeber PaAM, VIo .1, 101 , no. 25",1901,40,3,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Plains,Gros Ventre 2,"Kroeber, PaAM, Vol. 1, 100, no. 24.","1901, Ft. Belknap Reservation, Northern Montana",41,3,3,1,0,0,1,1,10,2,1,1,1,4,0,0,3,2,0,1,0,0,0,6
Plains,Gros Ventre 3,"Kroeber, PaAM, Vol. 1, 90, no. 21.",n/a,42,1,5,0,0,0,1,1,2,2,0,0,1,4,0,0,3,2,0,5,1,0,0,1
